doi,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,keywords,pubmed_id,pmc_id,screener
10.1111/1365-2435.13735,rayyan-471521482,Social learning by mate-choice copying increases dispersal and reduces local adaptation,2021,NA,NA,Functional Ecology,NA,35,3,705 - 716,"Sapage, Manuel and Varela, Susana A.M. and Kokko, Hanna",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097611431&doi=10.1111%2F1365-2435.13735&partnerID=40&md5=09d2c92ab73610d49b56230991a16440,NA,NA,NA,"In heterogeneous environments, dispersal may be hampered not only by direct costs, but also because immigrants may be locally maladapted. While maladaptation affects both sexes, this cost may be modulated in females if they express mate preferences that are either adaptive or maladaptive in the new local population. Dispersal costs under local adaptation may be mitigated if it is possible to switch to expressing traits of locally adapted residents. In a sexual selection context, immigrant females may learn to mate with locally favoured males. Mate-choice copying is a type of social learning, where individuals, usually females, update their mating preferences after observing others mate. If it allows immigrant females to switch from maladapted to locally adapted preferences, their dispersal costs are mitigated as mate choice helps them create locally adapted offspring. To study if copying can promote the evolution of dispersal, we created an individual-based model to simulate the coevolution of four traits: copying, dispersal, a trait relevant for local adaptation, and female preference. We contrast two scenarios with copying—either unconditional or conditional such that only dispersers copy—with a control scenario that lacks any copying. We show copying to lead to higher dispersal, especially if copying is conditionally expressed. This leads to an increase in gene flow between patches and, consequently, a decrease in local adaptation and trait-preference correlations. While our study is phrased with female preference as the learned trait, one may generally expect social learning to mitigate dispersal costs, with consequent feedback effects on the spatial dynamics of adaptation. A free Plain Language Summary can be found within the Supporting Information of this article. © 2020 British Ecological Society | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 6; All Open Access; Bronze Open Access; Green Final Open Access; Green Open Access,coevolution; cost analysis; dispersal; gene flow; individual-based model; local adaptation; mate ...,NA,NA,Ayumi
10.1016/B978-0-12-809633-8.90084-0,rayyan-471521559,Mammalian social learning: Non-primates,2019,NA,NA,Encyclopedia of Animal Behavior,NA,NA,NA,365 - 371,"Galef, Bennett G. and White, David J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079258811&doi=10.1016%2FB978-0-12-809633-8.90084-0&partnerID=40&md5=46ab2ac57050865ed3fe7a93e283b3bf,NA,NA,NA,"Social learning can be a major factor in mammals learning either arbitrary responses in the laboratory or behaviors critical to their survival and reproduction in natural habitat. Development of adaptive patterns of food selection, mate choice, predator avoidance, and communication are all facilitated by interaction with conspecifics. Consequences of such social learning are profound, allowing mammals to flourish in portions of the environment otherwise closed to them by, for example, learning socially to select valuable foods that would otherwise be ignored or to overcome the defense of potential prey that would otherwise prove impossible to ingest. © 2019 Elsevier Ltd. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 0,NA,NA,NA,Ayumi
10.1111/gbb.12508,rayyan-471521570,Social neuroscience of disgust,2019,NA,NA,"Genes, Brain and Behavior",NA,18,1,NA,"Kavaliers, Martin and Ossenkopp, Klaus Peter and Choleris, Elena",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052456536&doi=10.1111%2Fgbb.12508&partnerID=40&md5=3409e19b9768dde6b690445c8029fe91,NA,NA,NA,"Disgust can be thought of as an affective system that has evolved to detect signs of pathogens, parasite and toxins as well as to stimulate behaviors that reduce the risk of their acquisition. Disgust incorporates social cognitive mechanisms to regulate exposure to and, or anticipate and avoid exposure to pathogens and toxins. Social cognition entails the acquisition of social information about others (ie, social recognition) and from others (ie, social learning). This involves recognizing and assessing other individuals and the pathogen/parasite/contamination/toxin threat they pose and deciding about when and how to interact with and, or avoid them. Social cognition provides a frame-work for examining the expression of disgust and the associated neurobiological mechanisms. Here, we briefly consider the relations between social cognition and pathogen/parasite/toxin avoidance behaviors. We briefly discuss aspects of: (1) the odor mediated social recognition of actual and potentially infected individuals and the impact of parasite/pathogen threat on disgust mate and social partner choice; (2) the roles of “out-groups” (strangers, unfamiliar individuals) and “in-groups” (familiar individuals) in the expression of disgust and pathogen avoidance behaviors; (3) individual and social learning of disgust and empathy for disgust; (4) toxin elicited disgust and anticipatory disgust; (5) the neurobiological mechanisms, and in particular the roles of the nonapeptide, oxytocin and estrogenic mechanism associated with social cognition and the expression of disgust. These findings on the social neuroscience of disgust have a direct bearing on our understanding of the roles of disgust in shaping human and nonhuman social behavior. © 2018 John Wiley & Sons Ltd and International Behavioural and Neural Genetics Society | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 51; All Open Access; Bronze Open Access,adaptive behavior; avoidance behavior; conceptual framework; discrimination learning; disgust; ex...;Molecular; Humans; Social Behavior,NA,NA,Ayumi
10.1016/j.tree.2012.10.019,rayyan-471521739,The impact of learning on selection-driven speciation,2013,NA,NA,Trends in Ecology and Evolution,NA,28,2,68 - 69,"Kawecki, Tadeusz J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872684157&doi=10.1016%2Fj.tree.2012.10.019&partnerID=40&md5=f6f2e212b871e5cf3ef5961c251fc767,NA,NA,NA,NA | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv,Cited by: 6; All Open Access; Green Accepted Open Access; Green Open Access,animal; evolution; learning; letter; mate choice; phenotype; physiology; species differentiation;...;Animal; Phenotype,NA,NA,Ayumi
10.1093/acprof:oso/9780195130027.003.0006,rayyan-471521833,Behavioral Ecology and the Social Sciences,2010,NA,NA,Missing the Revolution: Darwinism for Social Scientists,NA,NA,NA,NA,"Cronk, Lee",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919969430&doi=10.1093%2Facprof%3Aoso%2F9780195130027.003.0006&partnerID=40&md5=822135e39b295929ad2e673d3af047a7,NA,NA,NA,"Evolutionary psychologists have made a strong case that the human mind is particularly adept at certain tasks, such as monitoring compliance with social rules, learning language, and selecting mates, which are likely to have been especially important in human evolution. Human behavioral ecology has shown that the tremendous variations in human behavior across societies largely reflect adaptive responses to variable environments, conceived of as including not only physical elements but also people's social, political, and economic situation and their history. More specifically, human behavioral ecology has shown that human behavior largely conforms to the predictions of models derived from evolutionary theory, particularly in areas crucial to an individual's inclusive fitness, such as food choice and acquisition, social behavior, mate choice and acquisition, parental behavior, and social behavior. © Oxford University Press, 2014. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 1,NA,NA,NA,Ayumi
10.1016/j.biosystems.2009.10.010,rayyan-471521852,Bose-Einstein condensates form in heuristics learned by ciliates deciding to signal 'social' commitments,2010,NA,NA,BioSystems,NA,99,3,167 - 178,"Clark, Kevin B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649270054&doi=10.1016%2Fj.biosystems.2009.10.010&partnerID=40&md5=6d1d19b1721adadd84430f80fb093296,NA,NA,NA,"Fringe quantum biology theories often adopt the concept of Bose-Einstein condensation when explaining how consciousness, emotion, perception, learning, and reasoning emerge from operations of intact animal nervous systems and other computational media. However, controversial empirical evidence and mathematical formalism concerning decoherence rates of bioprocesses keep these frameworks from satisfactorily accounting for the physical nature of cognitive-like events. This study, inspired by the discovery that preferential attachment rules computed by complex technological networks obey Bose-Einstein statistics, is the first rigorous attempt to examine whether analogues of Bose-Einstein condensation precipitate learned decision making in live biological systems as bioenergetics optimization predicts. By exploiting the ciliate Spirostomum ambiguum's capacity to learn and store behavioral strategies advertising mating availability into heuristics of topologically invariant computational networks, three distinct phases of strategy use were found to map onto statistical distributions described by Bose-Einstein, Fermi-Dirac, and classical Maxwell-Boltzmann behavior. Ciliates that sensitized or habituated signaling patterns to emit brief periods of either deceptive 'harder-to-get' or altruistic 'easier-to-get' serial escape reactions began testing condensed on initially perceived fittest 'courting' solutions. When these ciliates switched from their first strategy choices, Bose-Einstein condensation of strategy use abruptly dissipated into a Maxwell-Boltzmann computational phase no longer dominated by a single fittest strategy. Recursive trial-and-error strategy searches annealed strategy use back into a condensed phase consistent with performance optimization. 'Social' decisions performed by ciliates showing no nonassociative learning were largely governed by Fermi-Dirac statistics, resulting in degenerate distributions of strategy choices. These findings corroborate previous work demonstrating ciliates with improving expertise search grouped 'courting' assurances at quantum efficiencies and verify efficient processing by primitive 'social' intelligences involves network forms of Bose-Einstein condensation coupled to preceding thermodynamic-sensitive computational phases. © 2009 Elsevier Ireland Ltd. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 13,ciliate; empirical analysis; heuristics; memory; optimization; article; bioenergy; Bose Einstein ...;Animal,NA,NA,Ayumi
10.1006/anbe.1993.1064,rayyan-471522089,Selective copying in mate choice of female sticklebacks,1993,NA,NA,Animal Behaviour,NA,45,3,541 - 547,"Goldschmidt, Tijs and Bakker, Theo C.M. and Feuth-De Bruijn, Enja",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027383090&doi=10.1006%2Fanbe.1993.1064&partnerID=40&md5=c6633ce02abf5c52cf21ff38c044b857,NA,NA,NA,"There is evidence that female three-spined sticklebacks, Gasterosteus aculeatus L., prefer to mate with males whose nests contain eggs rather than with males with empty nests. While there is consensus on this point, a dispute exists about whether this preference should be attributed to a direct effect of the eggs on the female's entering the nest or, alternatively, to a positive impact of the eggs on the courtship behaviour and breeding coloration of the male. In the field experiment reported here females strongly preferred nests with eggs over empty nests. Additionally, females were less likely to enter risky nests with eggs: Nests that contained fewer eggs than one average clutch or more eggs than the average nest content of parental males in this population. However, in the field possible differences in male attractiveness were not controlled for. In supplementary laboratory experiments the effect on female choice of possible changes in male attractiveness (intensified courtship and coloration) as a result of the presence of eggs in the nest was tested. Other differences in male attractiveness as a result of differences in male quality (body size, breeding coloration before the test, territory quality and size) were controlled for. When females had no access to the nests, they showed no preference for males with eggs in their nests in simultaneous choice tests. These results, together with the earlier published data, make it likely that the preference of females for nests with eggs is partly a direct consequence of the eggs themselves. So female sticklebacks are influenced by the mate choice behaviour of other females, but remain selective as to the actual nest content. © 1993 The Association for the Study of Animal Behaviour. All rights reserved. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 91,copying; mate choice; stickleback; three-spined stickleback; Gasterosteus aculeatus,NA,NA,Ayumi
10.1159/000006677,rayyan-471507839,Signal decoding and receiver evolution - An analysis using an artificial neural network,2000,6,NA,BRAIN BEHAVIOR AND EVOLUTION,0006-8977,56,1,45-62,"Ryan, MJ and Getz, W",NA,NA,NA,NA,"We use a connectionist model, a recurrent artificial neural network, to investigate the evolution of species recognition in sympatric taxa, We addressed three questions: (1) Does the accuracy of artificial neural networks in discriminating between conspecifics and other sympatric heterospecifics depend on whether the networks were trained only to recognize conspecifics, as opposed to being trained to discriminate between conspecifics and sympatric heterospecifics? (2) Do artificial neural networks weight most heavily those signal features that differ most between conspecifics and sympatric heterospecifics, or those features that vary less within conspecifics! (3) Does selection for species recognition generate sexual selection! We find that: (1) Neural networks trained only on self recognition do not classify species as accurately as networks trained to discriminate between conspecifics and heterospecifics, (2) Neural networks weight signal features in a manner suggesting that the total sound environment as opposed to the relative variation of signals within the species is more important in the evolution of recognition mechanisms. (3) Selection for species recognition generates substantial variation in the relative attractiveness of signals within the species and thus can result in sexual selection, Copyright (C) 2000 S. Karger AG, Basel. | WoS_01_JonesDuvalOriginalRayyanFormatted.csv",NA,NA,NA,NA,Ayumi
10.1007/s00265-018-2441-6,rayyan-471521594,Mate-choice copying in sailfin molly females: public information use from long-distance interactions,2018,NA,NA,Behavioral Ecology and Sociobiology,NA,72,2,NA,"Gierszewski, Stefanie and Keil, Melissa and Witte, Klaudia",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041345732&doi=10.1007%2Fs00265-018-2441-6&partnerID=40&md5=7d5a3cd716b71b3406bea569e5400561,NA,NA,NA,"Abstract: Animals may use public information gained by observing sexual interactions between conspecifics and use this information for their own mate choice. This strategy, called mate-choice copying, is considered to play an important role for the evolution of mate preferences. Mate-choice copying is defined as non-independent mate choice, in which a female’s probability of choosing a given male increases if other females have chosen that male previously. Using the livebearing sailfin molly (Poecilia latipinna), we asked if increasing the distance between a model female and a male would affect copying behaviour of focal females. We tested focal females in two different treatments: (1) model female and male in close proximity and able to interact at close range and (2) model female and male positioned apart from each other and restricted from close-range interactions. We could show that focal females copied the choice of a model at short distance to the prior non-preferred male as predicted from previous experiments. Surprisingly, focal females also copied the choice of a model when positioned 40 cm apart from the male. When no model female and, hence, no public information were provided (choice consistency control), focal females were consistent in their mate choice, indicating that changes in mate preference observed in the two treatments were due to the simulated mate choice of the model female. Our results demonstrate that females gain and use public information and copy the mate choice of other females even when heterosexual conspecifics interact from a distance. Significance statement: Animals can copy the mate choice of conspecifics by observing their sexual interactions and, hence, choose the same mate as the other individual did before. So far, mate-choice copying was investigated when the so-called model female and the male were in close proximity. Here, we investigated whether female sailfin mollies (Poecilia latipinna) copy the choice of a model female for a male when the model female can only interact with a male at distance. We show for the first time that even interactions of heterosexual conspecifics at distance provide public information for an observing focal female to copy the choice of the model. Our results imply an even wider information transfer in sailfin molly social networks than previously thought. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 12,conspecific; cyprinid; female behavior; information system; mate choice; preference behavior; pro...,NA,NA,Ayumi
10.1111/eth.12037,rayyan-471521745,Condition-Dependent choosiness for highly attractive songs in female canaries,2013,NA,NA,Ethology,NA,119,1,58 - 65,"Lerch, Alexandre and Rat-Fischer, Lauriane and Nagle, Laurent",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870775863&doi=10.1111%2Feth.12037&partnerID=40&md5=51750b398965a53c243a7a9d699a2528,NA,NA,NA,"Partner choice in animals has evolved under the effects of intra- and inter-sexual selection. Even if a consensus between females is often observed towards some males, certain females can drastically change their mating decision. Different conditions such as early learning, mate-choice copying, prior experience or subtle intrinsic factors can interfere with the decision. One of them is body condition of the females at the time of choosing. In this experiment, the flight feathers of female canaries Serinus canaria were cut, thus decreasing their flight ability. After a short period in a flight room, two types of artificial songs containing different tempi of the test 'A' phrase (16 vs. 8 syllables per second) were played to these females. It is known that only A phrases with a high tempo provoke a high level of sexual response in females. Female preference was evaluated by counting the number of Copulation Solicitation Displays (CSDs). The results show that, in both (normal and physically reduced) conditions, females prefer songs containing an A16 phrase. However, the strength of this preference is lower in females with compromised body condition than in females from the control group, suggesting a decreased choosiness in the poor body condition females. © 2012 Blackwell Verlag GmbH. | SCO_04_DaviesEtAlOriginalRayyanFormatted.csv; WoS_01_JonesDuvalOriginalRayyanFormatted.csv; WoS_03_DaviesEtAlOriginalRayyanFormatted.csv",Cited by: 11,body condition; feather; flight; intersexual interaction; intrasexual interaction; mate choice; p...,NA,NA,Ayumi
