canonical,in_jones,in_davies,in_new,year,species,k_jones,k_davies,k_new,n_sources,membership
Kniel_2017_Ethology,,,Kniel_2017_Ethology,2017,castanotis,0,0,2,1,N
Kobayashi_2026_JournalOfEthology,,,Kobayashi_2026_JournalOfEthology,2026,reticulata,0,0,5,1,N
Loyau et al [53],,Loyau et al [53],,2012,melanogaster,0,6,0,1,D
MON2018EFF,MON2018EFF,,,2018,melanogaster,4,0,0,1,J
MON2019DOP,MON2019DOP,,,2019,melanogaster,10,0,0,1,J
MacLaren_2019_Ethology,,,MacLaren_2019_Ethology,2019,latipinna,0,0,2,1,N
MacLaren_2024_PlosOne,,,MacLaren_2024_PlosOne,2024,latipinna,0,0,5,1,N
Marcos_2019_ISPA,,,Marcos_2019_ISPA,2019,melanogaster,0,0,1,1,N
McComb and Clutton-Brock [56],,McComb and Clutton-Brock [56],,1994,dama,0,2,0,1,D
Miller_2013_CarletonUniversity,,,Miller_2013_CarletonUniversity,2013,reticulata,0,0,1,1,N
Mitchell_2025_AmericanNaturalist,,,Mitchell_2025_AmericanNaturalist,2025,melanogaster,0,0,5,1,N
Nobel et al [63],,Nobel et al [63],,2018,melanogaster,0,2,0,1,D
Nöbel_2022_BehavioralEcology,,,Nöbel_2022_BehavioralEcology,2022,melanogaster,0,0,3,1,N
Nöbel_2022_ScientificReports,,,Nöbel_2022_ScientificReports,2022,melanogaster,0,0,1,1,N
Nöbel_2023_BehaviouralProcesses,,,Nöbel_2023_BehaviouralProcesses,2023,rerio,0,0,1,1,N
Nöbel_2023_Iscience,,,Nöbel_2023_Iscience,2023,melanogaster,0,0,2,1,N
Nöbel_2025_BiologyLetters,,,Nöbel_2025_BiologyLetters,2025,simulans,0,0,1,1,N
Nöbel_2025_ScientificReports,,,Nöbel_2025_ScientificReports,2025,melanogaster,0,0,4,1,N
Ophir and Galef [66],,Ophir and Galef [66],,2004,japonica,0,2,0,1,D
Pusiak_2020_AnimalBehaviour,,,Pusiak_2020_AnimalBehaviour,2020,reticulata,0,0,1,1,N
STI2011ALL,STI2011ALL,,,2011,olmstedi,2,0,0,1,J
Schlupp and Ryan [72],,Schlupp and Ryan [72],,1996,latipinna,0,1,0,1,D
Schlupp et al [71],,Schlupp et al [71],,1994,latipinna,0,1,0,1,D
Silva_2014_UniversidadeLisboa,,,Silva_2014_UniversidadeLisboa,2014,subobscura,0,0,4,1,N
Swaddle and Clelland [75],,Swaddle and Clelland [75],,2009,guttata,0,1,0,1,D
Swaddle et al [74],,Swaddle et al [74],,2005,guttata,0,3,0,1,D
White and Galef [77],,White and Galef [77],,1999,japonica,0,1,0,1,D
White and Galef [78],,White and Galef [78],,2000,japonica,0,2,0,1,D
White and Galef [79],,White and Galef [79],,2000,japonica,0,1,0,1,D
White et al [80],,White et al [80],,2017,reticulata,0,2,0,1,D
Widemo [81],,Widemo [81],,2005,typhle,0,4,0,1,D
Witte and Massmann [84],,Witte and Massmann [84],,2003,latipinna,0,3,0,1,D
Witte and Noltemeier [83],,Witte and Noltemeier [83],,2002,latipinna,0,6,0,1,D
Witte and Ryan [82],,Witte and Ryan [82],,1998,latipinna,0,2,0,1,D
Witte and Ueding [87],,Witte and Ueding [87],,2003,latipinna,0,2,0,1,D
Witte_2018_Biology,,,Witte_2018_Biology,2018,mexicana,0,0,2,1,N
Wong and McCarthy [88],,Wong and McCarthy [88],,2009,holbrooki,0,2,0,1,D
Ziege_2012_CurrentZoology,,,Ziege_2012_CurrentZoology,2012,mexicana,0,0,2,1,N
