author_prefix,year,jones_code,jones_exp,jones_lnOR,jones_d_from_lnOR,jones_behaviour,davies_study,davies_es,davies_hedges_d,davies_behaviour,davies_n,abs_jones_d,abs_davies_d,abs_diff,n_jones_es,n_davies_es,sign_agree,magnitude_match
MUN,2004,MUN2004MAT,1,0.7033,0.3877,reversal,61,61.4,-0.2701,Affiliation,50,0.3877,0.2701,0.1176,2,4,False,True
MUN,2004,MUN2004MAT,2,-0.1907,-0.1051,same,61,61.2,0.1248,Affiliation,50,0.1051,0.1248,-0.0197,2,4,False,True
NOB,2018,NOB2018COP,1,1.091,0.6015,less_attractive,62,62.1,0.1335,Mating,158,0.6015,0.1335,0.468,2,4,True,False
NOB,2018,NOB2018COP,2,-0.2553,-0.1408,more_attractive,62,62.2,0.0845,Mating,160,0.1408,0.0845,0.0563,2,4,False,True
PAT,1998,PAT1998DO,1,0.2877,0.1586,random,67,67.1,0.2016,Affiliation,70,0.1586,0.2016,-0.043,1,3,True,True
SLA,1999,SLA1999MAT,1,0.452,0.2492,random,73,73.1,0.3138,Affiliation,36,0.2492,0.3138,-0.0646,1,1,True,True
VUK,2007,VUK2007SIZ,1,-0.6931,-0.3822,random,76,76.11,0.4052,Affiliation,28,0.3822,0.4052,-0.023,4,12,False,True
VUK,2007,VUK2007SIZ,2,1.7047,0.9399,random,76,76.4,0.9133,Affiliation,20,0.9399,0.9133,0.0266,4,12,True,True
VUK,2007,VUK2007SIZ,3,1.3863,0.7643,random,76,76.6,0.6245,Affiliation,28,0.7643,0.6245,0.1398,4,12,True,True
VUK,2007,VUK2007SIZ,4,0.47,0.2591,random,76,76.1,0.3243,Affiliation,26,0.2591,0.3243,-0.0652,4,12,True,True
